"Alameda","AD6E",2007,248719,1686,57
"Alpine","AA6KX (now N6NT)",1994,199557,1421,57
"Amador","AE6Y @K6TA",2009,330977,2311,58
"Butte","K6KM (K2KW op)",2000,304442,2190,58
"Calaveras","WC6H",2009,340402,2430,58
"Colusa","AD6E",2006,178062,1259,55
"Contra Costa","N6RO (WA6VEF op)",1991,336699,2725,57
"Del Norte","N6YEU",2010,162022,1081,57
"El Dorado","K2RD @K6IDX",2009,324626,2239,58
"Fresno","N6ED @K6MI",2000,293973,2188,58
"Glenn","N6NT",1997,224295,1556,57
"Humboldt","W6JTI",2002,212251,1470,58
"Imperial","N7CW/6",2001,279241,2100,58
"Inyo","W6PH",2005,260333,1812,58
"Kern","N6UR (KR6X op)",1992,298816,2347,58
"Kings","N6BT (WA6VEF op)",1986,258738,2046,58
"Lake","AD6E",1999,214020,1512,58
"Lassen","AD6E",2001,187957,1351,57
"Los Angeles","K6LA",2006,350001,2486,58
"Madera","KD6FW",2003,208568,1798,58
"Marin","K6RIM",2003,267699,1813,58
"Mariposa","N6NZ",2007,240352,1887,58
"Mendocino","K6IF",2004,269787,1981,58
"Merced","W6CQP (AD6E op)",2003,225820,1551,56
"Modoc","W6REC",1991,298623,2438,57
"Mono","W6ML (Op W6KC)",2011,247109,1717,58
"Monterey","N6IJ (NI6T op)",2003,277356,1981,58
"Napa","W6OSP (AD6E op)",1998,199305,1348,58
"Nevada","AI6V (op K2RD)",2007,315462,2287,58
"Orange","AD6DO (now N6MJ)",1999,321842,2425,58
"Placer","KF6T",2009,322886,2255,58
"Plumas","KX7M",2004,215488,1461,56
"Riverside","N6MJ @W6KP",2003,388136,2792,58
"Sacramento","W6GO (N6IG op)",1991,373122,3011,57
"San Benito","K6VVA",2005,190960,1321,56
"San Bernardino","N6WIN",2010,232899,1739,58
"San Diego","N6MJ @W6YI",2011,418847,3047,58
"San Francisco","N6BV",1979,232560,2040,57
"San Joaquin","NT6K",2001,230579,1986,58
"San Luis Obispo","W6TK",2003,304239,2175,58
"San Mateo","N6BV",1982,270454,2245,58
"Santa Barbara","AC6T",1992,254272,1947,58
"Santa Clara","W6NL",2006,350610,2460,58
"Santa Cruz","K6XX",2009,356178,2472,58
"Shasta","K6MR",2004,244644,1741,58
"Sierra","N6DE",2009,290985,2054,57
"Siskiyou","NI6T",1998,241106,1713,58
"Solano","W6DI",2000,242962,2093,58
"Sonoma","W6PZ (K6SRZ, op.)",2010,302064,2033,58
"Stanislaus","W6XK",2001,211874,1826,58
"Sutter","AD6E",2004,225092,1570,56
"Tehama","AA6DX",1988,216514,1685,58
"Trinity","W6PZ (K6SRZ op)",2002,227534,1533,58
"Tulare","AD6E",2011,226912,1601,56
"Tuolumne","N6DE",2008,217906,1530,58
"Ventura","N6VR (KA6SAR op)",1991,316158,2465,58
"Yolo","AD6E",2000,212454,1450,58
"Yuba","AD6E",2004,225092,1570,56
"Alabama","K4ZGB",2011,98125,716,57
"Alaska","KL7RA",2010,104766,735,57
"Arizona","KE2VB",2011,75864,590,58
"Arkansas","K5DB",2003,98410,733,57
"California","N6MJ @W6YI",2006,389151,2751,58
"Colorado","W0UA @W0DLE",2009,94791,676,57
"Connecticut","W1RAN",2003,67200,462,56
"Delaware","NX3A",1992,72906,576,58
"Florida","K4XS",1990,138968,1106,58
"Georgia","N4PN",2010,143086,1063,58
"Hawaii","KH6LC (AH6RE op)",2011,120785,897,58
"Idaho","W7UQ (KL9A op)",2001,103327,744,58
"Illinois","K9ZO",2002,146479,1087,58
"Indiana","KE9I",2004,134328,965,58
"Iowa","N0AC",2002,149408,1094,58
"Kansas","WÃ˜BH",2011,149727,1177,58
"Kentucky","K4CMS",2002,83106,729,57
"Louisiana","N5II",2002,66352,467,58
"Maine","N4CW",2003,86072,582,58
"Maryland","K3TW",2007,81896,596,58
"Massachusetts","W1UE @K1TTT",2009,163850,1239,58
"Michigan","W8MJ",2002,161385,1188,58
"Minnesota","WA0MHJ",2007,78793,546,58
"Mississippi","N5OVV",1990,73312,631,58
"Missouri","K0OU",2009,107010,766,58
"Montana","K0PP/7",1993,85158,637,57
"Nebraska","KV0I",1988,132124,1039,58
"Nevada","W7RN (W6OAT op)",2005,90345,637,57
"New Hampshire","AE1P",2011,69890,499,58
"New Jersey","N2MM",2011,101587,739,58
"New Mexico","K5AM",2003,70448,552,56
"New York","N2CU",2004,127848,876,58
"North Carolina","WX4G",2011,116638,859,58
"North Dakota","N0FW",1999,93177,696,58
"Ohio","N0FW",2003,123685,943,58
"Oklahoma","K5YAA",2004,127513,879,58
"Oregon","N6TR/7",1986,130500,1030,58
"Pennsylvania","K3CR",2000,121162,874,58
"Rhode Island","NB1B (now W1UE)",2001,118668,891,58
"South Carolina","N4XL",2011,92026,679,57
"South Dakota","K0HW",2008,88189,652,58
"Tennessee","W4CAT (K1KY op)",2000,127716,897,58
"Texas","K5TR",2003,168113,1309,58
"Utah","KO7X",2000,86768,633,58
"Vermont","KK1L",2004,94714,715,58
"Virginia","K7SV",2004,97411,661,58
"Washington","K7QQ",1994,107464,846,56
"West Virginia","N8II",2006,93177,666,58
"Wisconsin","N0BSH/9",1990,160080,1280,58
"Wyoming","KO7X",2007,88624,616,58
"Alberta","VE7QF/VE6",2007,90915,668,57
"British Columbia","VE7SZ (VA7RR op)",2003,166981,1299,57
"Manitoba","VE4GV",1992,113332,872,58
"Maritimes","VE1JX (K6HNZ op)",2001,70672,631,58
"Northern Territories","VY1JA",1997,85318,647,58
"Ontario","VE3KZ",2011,121829,875,58
"Quebec","VE2CUA (AG8L op)",1998,78432,570,57
"Saskatchewan","VE5MX",2009,60619,424,57
